title,title_bm,title_zh,title_ta,cuisine,image_url,description,ingredients,steps,prep_time,cook_time,servings,spice_level,zero_waste_tip,ingredient_tags,nutrient_tags
Chicken Rice,Nasi Ayam,鸡饭,சிக்கன் ரைஸ்,chinese,,A simple Malaysian-style chicken rice plate with lean protein and aromatic rice.,"{""2 cups rice"",""300 g chicken breast"",""3 cloves garlic"",""2 slices ginger"",""1 cucumber sliced""}","{""Rinse rice and cook with garlic and ginger."",""Poach or steam chicken breast until cooked."",""Slice chicken and serve with cucumber."",""Serve with soup or light chili sauce.""}",15,30,2,mild,Use chicken cooking liquid as soup instead of discarding it.,"{""Rice"",""Chicken Breast"",""Garlic"",""Ginger"",""Cucumber""}","{""high_protein"",""lower_sugar""}"
Nasi Lemak Light,Nasi Lemak Ringan,轻版椰浆饭,லேசான நாசி லெமாக்,malay,,A lighter nasi lemak variation using moderate coconut milk and boiled egg.,"{""2 cups rice"",""120 ml coconut milk"",""2 pandan leaves"",""2 eggs"",""1 cucumber sliced"",""2 tbsp anchovy""}","{""Cook rice with coconut milk pandan and water."",""Boil eggs and slice cucumber."",""Toast anchovies until crisp."",""Serve rice with egg cucumber and anchovies.""}",15,25,2,medium,Use leftover rice for fried rice the next day.,"{""Rice"",""Coconut Milk"",""Pandan Leaf"",""Egg"",""Cucumber"",""Anchovy""}","{""lower_sugar""}"
Kangkung Belacan,Kangkung Belacan,马来风光,கங்குங் பெலாசான்,malay,,A quick stir-fried water spinach dish with chili garlic and savoury aroma.,"{""300 g water spinach"",""3 cloves garlic"",""2 chilies sliced"",""1 tbsp dried shrimp paste optional""}","{""Wash and cut water spinach."",""Fry garlic chili and paste until fragrant."",""Add water spinach and stir-fry quickly."",""Serve while still green and crisp.""}",10,8,2,spicy,Use tender stems as well as leaves to reduce waste.,"{""Water Spinach"",""Garlic"",""Chili""}","{""lower_sugar""}"
Tofu Vegetable Stir Fry,Tauhu Goreng Sayur,豆腐炒蔬菜,டோஃபு காய்கறி வறுவல்,chinese,,A balanced plant-based stir fry with tofu and mixed vegetables.,"{""250 g tofu cubed"",""1 carrot sliced"",""150 g cabbage"",""100 g long bean"",""2 cloves garlic""}","{""Pan-fry tofu until lightly golden."",""Stir-fry garlic carrot cabbage and long bean."",""Add tofu back to the pan."",""Season lightly and serve warm.""}",15,15,2,mild,Use leftover vegetables as filling for wraps or fried rice.,"{""Tofu"",""Carrot"",""Cabbage"",""Long Bean"",""Garlic""}","{""high_fiber"",""lower_sugar""}"
Turmeric Chicken,Ayam Kunyit,姜黄鸡,மஞ்சள் கோழி,malay,,A fragrant turmeric chicken dish with onion and long beans.,"{""300 g chicken breast"",""1 tsp turmeric"",""1 red onion sliced"",""100 g long bean"",""1 chili sliced""}","{""Marinate chicken with turmeric."",""Stir-fry onion and chili until fragrant."",""Add chicken and cook through."",""Add long bean and stir-fry until tender.""}",15,18,2,medium,Slice onion thinly and use all edible parts to avoid scraps.,"{""Chicken Breast"",""Turmeric"",""Red Onion"",""Long Bean"",""Chili""}","{""high_protein"",""lower_sugar""}"
Tom Yam Soup,Sup Tom Yam,冬炎汤,டோம் யாம் சூப்,malay,,A hot and sour soup using lemongrass ginger chili and vegetables.,"{""2 stalks lemongrass"",""4 slices ginger"",""2 chilies"",""1 tomato quartered"",""100 g shrimp"",""100 g okra""}","{""Simmer lemongrass ginger and chili in water."",""Add tomato okra and shrimp."",""Cook until shrimp turns pink."",""Season with lime juice and serve hot.""}",15,15,2,spicy,Use vegetable ends to make a light broth before cooking.,"{""Lemongrass"",""Ginger"",""Chili"",""Tomato"",""Shrimp"",""Okra""}","{""high_protein"",""lower_sugar""}"
Egg Curry,Kari Telur,鸡蛋咖喱,முட்டை கறி,indian,,A simple egg curry with potatoes tomato and aromatic spices.,"{""4 eggs"",""1 potato cubed"",""1 tomato chopped"",""1 red onion sliced"",""1 tsp turmeric"",""2 cloves garlic""}","{""Boil eggs and peel."",""Cook onion garlic tomato and turmeric."",""Add potato and simmer until soft."",""Add eggs and coat with curry sauce.""}",15,25,2,medium,Save potato peels for compost if not using them.,"{""Egg"",""Potato"",""Tomato"",""Red Onion"",""Turmeric"",""Garlic""}","{""lower_sugar""}"
Pineapple Fried Rice,Nasi Goreng Nanas,菠萝炒饭,அன்னாசி பொரித்த சாதம்,chinese,,A colourful fried rice with pineapple egg and vegetables.,"{""2 cups cooked rice"",""1 cup pineapple chunks"",""2 eggs"",""1 carrot diced"",""2 cloves garlic"",""100 g shrimp""}","{""Fry garlic carrot and shrimp."",""Add beaten eggs and scramble."",""Add rice and pineapple."",""Stir-fry until heated through.""}",15,12,2,mild,Use day-old rice to prevent waste and improve texture.,"{""Rice"",""Pineapple"",""Egg"",""Carrot"",""Garlic"",""Shrimp""}","{""high_protein""}"
Tempeh Sambal,Tempe Sambal,参巴天贝,டெம்பே சம்பல்,malay,,A spicy tempeh dish with chili onion and tomato-based sambal.,"{""250 g tempeh sliced"",""3 chilies"",""1 red onion"",""1 tomato"",""2 cloves garlic""}","{""Pan-fry tempeh until golden."",""Blend or chop chili onion garlic and tomato."",""Cook sambal until fragrant."",""Toss tempeh with sambal and serve.""}",15,20,2,spicy,Use leftover sambal as a spread or noodle topping.,"{""Tempeh"",""Chili"",""Red Onion"",""Tomato"",""Garlic""}","{""high_protein"",""lower_sugar""}"
Mackerel Asam Pedas,Asam Pedas Ikan Kembung,酸辣甘榜鱼,கானாங்கெளுத்தி ஆசாம் பெடாஸ்,malay,,A tangy spicy fish stew with tomato okra and chili.,"{""2 mackerel pieces"",""2 chilies"",""1 tomato quartered"",""100 g okra"",""1 stalk lemongrass"",""1 tsp turmeric""}","{""Simmer chili lemongrass turmeric and water."",""Add mackerel and cook gently."",""Add tomato and okra."",""Season with tamarind or lime and serve.""}",15,20,2,spicy,Use fish bones and heads for stock if available.,"{""Mackerel"",""Chili"",""Tomato"",""Okra"",""Lemongrass"",""Turmeric""}","{""high_protein"",""lower_sugar""}"
