name,name_bm,name_zh,name_ta,category,image_url,description,culinary_uses,origin,benefits,calories,protein,carbs,sugar,fiber,fat,saturated_fat,sodium,potassium,source
Red Onion,Bawang Merah,红葱,சிவப்பு வெங்காயம்,vegetable,,A pungent bulb vegetable commonly used to build flavour in Malaysian cooking.,Used in sambal stir-fries curries soups and marinades.,Central Asia; widely cultivated globally,Contains antioxidants and adds flavour with minimal calories,40,1.1,9.3,4.2,1.7,0.1,0,4,146,USDA FoodData Central
Garlic,Bawang Putih,大蒜,பூண்டு,vegetable,,A strong aromatic bulb used as a seasoning ingredient.,Used in frying spice pastes soups sauces and marinades.,Central Asia; widely used worldwide,Provides strong flavour and contains sulfur compounds,149,6.4,33.1,1,2.1,0.5,0.1,17,401,USDA FoodData Central
Ginger,Halia,姜,இஞ்சி,spice,,A spicy aromatic rhizome used fresh dried or ground.,Used in soups curries stir-fries drinks and marinades.,Southeast Asia,Commonly used for aroma and digestive comfort in food traditions,80,1.8,17.8,1.7,2,0.8,0.2,13,415,USDA FoodData Central
Turmeric,Kunyit,姜黄,மஞ்சள்,spice,,A bright yellow rhizome used for colour flavour and aroma.,Used in curries rendang marinades and rice dishes.,South Asia and Southeast Asia,Contains curcumin and gives dishes natural colour,312,9.7,67.1,3.2,22.7,3.3,1.8,27,2080,USDA FoodData Central
Lemongrass,Serai,香茅,எலுமிச்சை புல்,herb,,A citrus-scented stalk used as an aromatic herb.,Used in soups curries rendang tom yam and herbal drinks.,Southeast Asia,Adds citrus aroma with very low calories,99,1.8,25.3,0,0,0.5,0.1,6,723,USDA FoodData Central
Pandan Leaf,Daun Pandan,班兰叶,பாண்டன் இலை,herb,,A fragrant tropical leaf used for aroma and natural green colour.,Used in nasi lemak desserts drinks rice and cakes.,Southeast Asia,Adds natural fragrance without much sugar or fat,35,2,7,0,0,0,0,10,0,General food composition reference
Coconut Milk,Santan,椰浆,தேங்காய் பால்,other,,A creamy liquid extracted from grated coconut flesh.,Used in curries laksa nasi lemak desserts and sauces.,Tropical regions,Adds richness but should be used moderately due to saturated fat,230,2.3,5.5,3.3,2.2,23.8,21.1,15,263,USDA FoodData Central
Chicken Breast,Dada Ayam,鸡胸肉,கோழி மார்பு,protein,,A lean poultry protein commonly used in home cooking.,Used in soups grilled dishes stir-fries curries and salads.,Global,High in protein and relatively low in fat when skinless,165,31,0,0,0,3.6,1,74,256,USDA FoodData Central
Tofu,Tauhu,豆腐,டோஃபு,protein,,A soy-based protein made by coagulating soy milk.,Used in stir-fries soups curries and vegetarian dishes.,China; widely used across Asia,Plant-based protein with minerals and low saturated fat,76,8.1,1.9,0.6,0.3,4.8,0.7,7,121,USDA FoodData Central
Rice,Beras,米,அரிசி,grain,,A staple grain and main carbohydrate source in Malaysian meals.,Cooked as plain rice nasi lemak porridge fried rice and desserts.,Asia,Provides energy as a staple carbohydrate,130,2.7,28.2,0.1,0.4,0.3,0.1,1,35,USDA FoodData Central
Chili,Cili,辣椒,மிளகாய்,vegetable,,A spicy fruit used fresh dried or blended into pastes.,Used in sambal curries sauces stir-fries and dipping condiments.,Central and South America; widely cultivated in Asia,Adds heat and contains vitamin C,40,1.9,8.8,5.3,1.5,0.4,0,9,322,USDA FoodData Central
Tomato,Tomato,番茄,தக்காளி,vegetable,,A juicy red fruit commonly treated as a vegetable in cooking.,Used in soups curries salads sauces and stir-fries.,South America; widely cultivated globally,Contains lycopene and vitamin C,18,0.9,3.9,2.6,1.2,0.2,0,5,237,USDA FoodData Central
Cucumber,Timun,黄瓜,வெள்ளரிக்காய்,vegetable,,A crisp high-water vegetable eaten raw or lightly prepared.,Used in salads ulam nasi lemak garnish and pickles.,South Asia,Hydrating and low in calories,15,0.7,3.6,1.7,0.5,0.1,0,2,147,USDA FoodData Central
Eggplant,Terung,茄子,கத்திரிக்காய்,vegetable,,A soft purple vegetable that absorbs sauces well.,Used in curries sambal stir-fries and grilled dishes.,South Asia,Provides fiber and adds texture to meals,25,1,5.9,3.5,3,0.2,0,2,229,USDA FoodData Central
Long Bean,Kacang Panjang,长豆,பயத்தங்காய்,vegetable,,A long green bean common in Malaysian stir-fries and salads.,Used in stir-fries kerabu ulam curries and mixed vegetables.,Southeast Asia,Provides fiber and plant nutrients,47,2.8,8.4,0,2.7,0.4,0.1,4,240,USDA FoodData Central
Okra,Bendi,秋葵,வெண்டைக்காய்,vegetable,,A green pod vegetable with a soft texture when cooked.,Used in curries asam pedas stir-fries and soups.,Africa; widely cultivated in Asia,Contains fiber and helps add body to dishes,33,1.9,7.5,1.5,3.2,0.2,0,7,299,USDA FoodData Central
Spinach,Bayam,菠菜,பசலைக் கீரை,vegetable,,A leafy green vegetable used in soups and stir-fries.,Used in clear soups stir-fries porridge and vegetable dishes.,Persia; widely grown globally,Rich in leafy-green micronutrients,23,2.9,3.6,0.4,2.2,0.4,0.1,79,558,USDA FoodData Central
Water Spinach,Kangkung,空心菜,கங்குங்,vegetable,,A tender hollow-stem leafy vegetable popular in Southeast Asia.,Used in kangkung belacan stir-fries soups and noodle dishes.,Southeast Asia,Provides fiber and leafy-green nutrients,19,2.6,3.1,0.4,2.1,0.2,0,113,312,USDA FoodData Central
Cabbage,Kobis,卷心菜,முட்டைக்கோஸ்,vegetable,,A crunchy leafy vegetable with mild flavour.,Used in stir-fries soups slaws noodles and mixed vegetables.,Europe; widely cultivated globally,Low calorie and provides fiber,25,1.3,5.8,3.2,2.5,0.1,0,18,170,USDA FoodData Central
Carrot,Lobak Merah,胡萝卜,கேரட்,vegetable,,An orange root vegetable with natural sweetness.,Used in soups stir-fries salads fried rice and stews.,Central Asia,Contains beta-carotene and fiber,41,0.9,9.6,4.7,2.8,0.2,0,69,320,USDA FoodData Central
Potato,Kentang,土豆,உருளைக்கிழங்கு,vegetable,,A starchy tuber used in many savoury dishes.,Used in curries soups stews cutlets and fried dishes.,South America; widely cultivated globally,Provides carbohydrate energy and potassium,77,2,17.5,0.8,2.2,0.1,0,6,425,USDA FoodData Central
Sweet Potato,Ubi Keledek,红薯,சர்க்கரைவள்ளி கிழங்கு,vegetable,,A naturally sweet starchy root vegetable.,Used boiled steamed roasted fried or in desserts.,Central and South America; cultivated widely,Provides carbohydrate energy fiber and beta-carotene,86,1.6,20.1,4.2,3,0.1,0,55,337,USDA FoodData Central
Banana,Pisang,香蕉,வாழைப்பழம்,fruit,,A sweet soft tropical fruit eaten fresh or cooked.,Used in snacks desserts smoothies fritters and breakfast dishes.,Southeast Asia,Provides potassium and quick carbohydrate energy,89,1.1,22.8,12.2,2.6,0.3,0.1,1,358,USDA FoodData Central
Pineapple,Nanas,菠萝,அன்னாசி,fruit,,A juicy tropical fruit with sweet and tangy flavour.,Used in rojak curries fried rice juices desserts and snacks.,South America; widely cultivated in tropics,Contains vitamin C and natural acidity,50,0.5,13.1,9.9,1.4,0.1,0,1,109,USDA FoodData Central
Mango,Mangga,芒果,மாம்பழம்,fruit,,A fragrant tropical fruit with sweet flesh.,Used fresh in desserts smoothies salads pickles and sauces.,South Asia,Provides vitamin C and natural sweetness,60,0.8,15,13.7,1.6,0.4,0.1,1,168,USDA FoodData Central
Egg,Telur,鸡蛋,முட்டை,protein,,A versatile animal protein used in many meals.,Used boiled fried scrambled in noodles rice baking and sauces.,Global,Good source of protein and several micronutrients,143,12.6,0.7,0.4,0,9.5,3.1,142,138,USDA FoodData Central
Shrimp,Udang,虾,இறால்,protein,,A seafood protein with sweet savoury flavour.,Used in sambal noodles fried rice soups curries and stir-fries.,Coastal regions globally,High in protein and low in carbohydrate,99,24,0.2,0,0,0.3,0.1,111,259,USDA FoodData Central
Anchovy,Ikan Bilis,江鱼仔,நெத்திலி,protein,,Small dried fish commonly used for savoury flavour.,Used in nasi lemak sambal soups stocks and crispy toppings.,Coastal Southeast Asia,Adds protein calcium and savoury taste but can be salty,210,29,0,0,0,9,2,3668,544,General food composition reference
Tempeh,Tempe,天贝,டெம்பே,protein,,A fermented soybean cake with firm texture and nutty flavour.,Used fried stir-fried in sambal curries and vegetarian dishes.,Indonesia,Plant-based protein from fermented soybeans,193,20.3,7.6,0,1.4,10.8,2.2,9,412,USDA FoodData Central
Mackerel,Ikan Kembung,鲭鱼,கானாங்கெளுத்தி,protein,,An oily fish commonly used in Malaysian home cooking.,Used grilled fried in curry asam pedas soups and sambal dishes.,Coastal waters of Asia,Provides protein and omega-3 fats,205,18.6,0,0,0,13.9,3.3,90,314,USDA FoodData Central
